Execution Order,Page ID,Priority,Cluster,Page Type,Parent Pillar,Primary Keyword,Search Intent,Funnel,H1 / Page Title,Suggested URL,Target Length,H2 / H3 Content Structure,Answer-First / LLM Blocks,Required Tables,CTA Guidance,Evidence Requirement
11,AF-R07,P1,Air Fryers,Roundup,AF-PIL,best compact air fryer,Commercial Investigation,BOFU,Best Compact Air Fryers for Small Kitchens,/best-compact-air-fryer/,"2,500–4,000",Quick picks | Comparison table | How we chose these products | Best overall option for best compact air fryer | Best budget option | Best premium option | Other strong options by use case | Detailed product evaluations | How to choose | Common buying mistakes | Frequently asked questions,50-word direct answer; ranked list; decision matrix; explicit selection logic; pros/cons; audience fit; concise FAQ answers.,Top picks table; full comparison table; selection criteria table; optional size/value decision table,Disclosure → Check price on Amazon; contextual CTA after verdict; alternatives link,Original selection methodology; spec verification; decision criteria; custom comparison table; explain exclusions; ideally hands-on notes or documented research.
12,AF-R11,P1,Air Fryers,Roundup,AF-PIL,best dual basket air fryer,Commercial Investigation,BOFU,Best Dual-Basket Air Fryers,/best-dual-basket-air-fryer/,"2,500–4,000",Quick picks | Comparison table | How we chose these products | Best overall option for best dual basket air fryer | Best budget option | Best premium option | Other strong options by use case | Detailed product evaluations | How to choose | Common buying mistakes | Frequently asked questions,50-word direct answer; ranked list; decision matrix; explicit selection logic; pros/cons; audience fit; concise FAQ answers.,Top picks table; full comparison table; selection criteria table; optional size/value decision table,Disclosure → Check price on Amazon; contextual CTA after verdict; alternatives link,Original selection methodology; spec verification; decision criteria; custom comparison table; explain exclusions; ideally hands-on notes or documented research.
13,AF-R12,P1,Air Fryers,Roundup,AF-PIL,best air fryer toaster oven combo,Commercial Investigation,BOFU,Best Air Fryer Toaster Oven Combos,/best-air-fryer-toaster-oven-combo/,"2,500–4,000",Quick picks | Comparison table | How we chose these products | Best overall option for best air fryer toaster oven combo | Best budget option | Best premium option | Other strong options by use case | Detailed product evaluations | How to choose | Common buying mistakes | Frequently asked questions,50-word direct answer; ranked list; decision matrix; explicit selection logic; pros/cons; audience fit; concise FAQ answers.,Top picks table; full comparison table; selection criteria table; optional size/value decision table,Disclosure → Check price on Amazon; contextual CTA after verdict; alternatives link,Original selection methodology; spec verification; decision criteria; custom comparison table; explain exclusions; ideally hands-on notes or documented research.
14,BL-R01,P1,Blenders,Roundup,BL-PIL,best blender under $100,Commercial Investigation,BOFU,Best Blenders Under $100,/best-blender-under-100/,"2,500–4,000",Quick picks | Comparison table | How we chose these products | Best overall option for best blender under $100 | Best budget option | Best premium option | Other strong options by use case | Detailed product evaluations | How to choose | Common buying mistakes | Frequently asked questions,50-word direct answer; ranked list; decision matrix; explicit selection logic; pros/cons; audience fit; concise FAQ answers.,Top picks table; full comparison table; selection criteria table; optional size/value decision table,Disclosure → Check price on Amazon; contextual CTA after verdict; alternatives link,Original selection methodology; spec verification; decision criteria; custom comparison table; explain exclusions; ideally hands-on notes or documented research.
15,BL-R03,P1,Blenders,Roundup,BL-PIL,best personal blender,Commercial Investigation,BOFU,Best Personal Blenders,/best-personal-blender/,"2,500–4,000",Quick picks | Comparison table | How we chose these products | Best overall option for best personal blender | Best budget option | Best premium option | Other strong options by use case | Detailed product evaluations | How to choose | Common buying mistakes | Frequently asked questions,50-word direct answer; ranked list; decision matrix; explicit selection logic; pros/cons; audience fit; concise FAQ answers.,Top picks table; full comparison table; selection criteria table; optional size/value decision table,Disclosure → Check price on Amazon; contextual CTA after verdict; alternatives link,Original selection methodology; spec verification; decision criteria; custom comparison table; explain exclusions; ideally hands-on notes or documented research.
16,BL-R04,P1,Blenders,Roundup,BL-PIL,best blender for smoothies,Commercial Investigation,BOFU,Best Blenders for Smoothies,/best-blender-for-smoothies/,"2,500–4,000",Quick picks | Comparison table | How we chose these products | Best overall option for best blender for smoothies | Best budget option | Best premium option | Other strong options by use case | Detailed product evaluations | How to choose | Common buying mistakes | Frequently asked questions,50-word direct answer; ranked list; decision matrix; explicit selection logic; pros/cons; audience fit; concise FAQ answers.,Top picks table; full comparison table; selection criteria table; optional size/value decision table,Disclosure → Check price on Amazon; contextual CTA after verdict; alternatives link,Original selection methodology; spec verification; decision criteria; custom comparison table; explain exclusions; ideally hands-on notes or documented research.
17,BL-R05,P1,Blenders,Roundup,BL-PIL,best blender for frozen fruit,Commercial Investigation,BOFU,Best Blenders for Frozen Fruit,/best-blender-for-frozen-fruit/,"2,500–4,000",Quick picks | Comparison table | How we chose these products | Best overall option for best blender for frozen fruit | Best budget option | Best premium option | Other strong options by use case | Detailed product evaluations | How to choose | Common buying mistakes | Frequently asked questions,50-word direct answer; ranked list; decision matrix; explicit selection logic; pros/cons; audience fit; concise FAQ answers.,Top picks table; full comparison table; selection criteria table; optional size/value decision table,Disclosure → Check price on Amazon; contextual CTA after verdict; alternatives link,Original selection methodology; spec verification; decision criteria; custom comparison table; explain exclusions; ideally hands-on notes or documented research.
18,BL-R06,P1,Blenders,Roundup,BL-PIL,best blender for crushing ice,Commercial Investigation,BOFU,Best Blenders for Crushing Ice,/best-blender-for-crushing-ice/,"2,500–4,000",Quick picks | Comparison table | How we chose these products | Best overall option for best blender for crushing ice | Best budget option | Best premium option | Other strong options by use case | Detailed product evaluations | How to choose | Common buying mistakes | Frequently asked questions,50-word direct answer; ranked list; decision matrix; explicit selection logic; pros/cons; audience fit; concise FAQ answers.,Top picks table; full comparison table; selection criteria table; optional size/value decision table,Disclosure → Check price on Amazon; contextual CTA after verdict; alternatives link,Original selection methodology; spec verification; decision criteria; custom comparison table; explain exclusions; ideally hands-on notes or documented research.
19,AF-C01,P1,Air Fryers,Comparison,AF-PIL,ninja vs cosori air fryer,Commercial Investigation,BOFU,Ninja vs Cosori Air Fryer,/ninja-vs-cosori-air-fryer/,"2,000–3,000","Quick verdict | Side-by-side comparison table | Key differences | Design and capacity | Performance comparison | Ease of use and cleaning | Noise, power and footprint | Price and value | Choose option A if | Choose option B if | Best alternatives | Frequently asked questions",Direct winner by use case; structured difference table; category-by-category winners; no forced single winner; concise decision summary.,At-a-glance comparison; category winners; specifications,Separate clearly labelled CTA for each product; do not bias without evidence,"Side-by-side criteria, validated specs, task-based winner logic, price checked date, clear uncertainty."
20,AF-C03,P1,Air Fryers,Comparison,AF-PIL,basket air fryer vs oven air fryer,Commercial Investigation,BOFU,Basket Air Fryer vs Oven Air Fryer,/basket-air-fryer-vs-oven-air-fryer/,"2,000–3,000","Quick verdict | Side-by-side comparison table | Key differences | Design and capacity | Performance comparison | Ease of use and cleaning | Noise, power and footprint | Price and value | Choose option A if | Choose option B if | Best alternatives | Frequently asked questions",Direct winner by use case; structured difference table; category-by-category winners; no forced single winner; concise decision summary.,At-a-glance comparison; category winners; specifications,Separate clearly labelled CTA for each product; do not bias without evidence,"Side-by-side criteria, validated specs, task-based winner logic, price checked date, clear uncertainty."
21,BL-C01,P1,Blenders,Comparison,BL-PIL,vitamix vs ninja blender,Commercial Investigation,BOFU,Vitamix vs Ninja Blender,/vitamix-vs-ninja-blender/,"2,000–3,000","Quick verdict | Side-by-side comparison table | Key differences | Design and capacity | Performance comparison | Ease of use and cleaning | Noise, power and footprint | Price and value | Choose option A if | Choose option B if | Best alternatives | Frequently asked questions",Direct winner by use case; structured difference table; category-by-category winners; no forced single winner; concise decision summary.,At-a-glance comparison; category winners; specifications,Separate clearly labelled CTA for each product; do not bias without evidence,"Side-by-side criteria, validated specs, task-based winner logic, price checked date, clear uncertainty."
22,BL-C02,P1,Blenders,Comparison,BL-PIL,ninja vs nutribullet,Commercial Investigation,BOFU,Ninja vs NutriBullet Blender,/ninja-vs-nutribullet/,"2,000–3,000","Quick verdict | Side-by-side comparison table | Key differences | Design and capacity | Performance comparison | Ease of use and cleaning | Noise, power and footprint | Price and value | Choose option A if | Choose option B if | Best alternatives | Frequently asked questions",Direct winner by use case; structured difference table; category-by-category winners; no forced single winner; concise decision summary.,At-a-glance comparison; category winners; specifications,Separate clearly labelled CTA for each product; do not bias without evidence,"Side-by-side criteria, validated specs, task-based winner logic, price checked date, clear uncertainty."
23,BL-C06,P1,Blenders,Comparison,BL-PIL,blender vs food processor,Commercial Investigation,BOFU,Blender vs Food Processor,/blender-vs-food-processor/,"2,000–3,000","Quick verdict | Side-by-side comparison table | Key differences | Design and capacity | Performance comparison | Ease of use and cleaning | Noise, power and footprint | Price and value | Choose option A if | Choose option B if | Best alternatives | Frequently asked questions",Direct winner by use case; structured difference table; category-by-category winners; no forced single winner; concise decision summary.,At-a-glance comparison; category winners; specifications,Separate clearly labelled CTA for each product; do not bias without evidence,"Side-by-side criteria, validated specs, task-based winner logic, price checked date, clear uncertainty."
24,AF-V01,P1,Air Fryers,Single Review,AF-PIL,ninja air fryer pro review,Commercial Investigation,BOFU,Ninja Air Fryer Pro Review,/ninja-air-fryer-pro-review/,"1,800–2,800","Quick verdict | Product specifications | Who this product is best for | Design and build quality | Performance by key task | Ease of use and cleaning | Noise, power and countertop footprint | Pros and cons | Value for money | Best alternatives | Final recommendation | Frequently asked questions",One-paragraph verdict; scorecard with measurable criteria; evidence notes; pros/cons; alternatives; buy-if/skip-if; dated review update.,Specs; scorecard; pros/cons; alternatives comparison,Primary product CTA after verdict and value section; alternatives each get separate CTA,"Hands-on testing preferred. Otherwise clearly disclose research-based review; add original analysis, test protocol, photos/data where available; never invent use."
25,AF-V02,P1,Air Fryers,Single Review,AF-PIL,cosori turboblaze air fryer review,Commercial Investigation,BOFU,Cosori TurboBlaze Air Fryer Review,/cosori-turboblaze-air-fryer-review/,"1,800–2,800","Quick verdict | Product specifications | Who this product is best for | Design and build quality | Performance by key task | Ease of use and cleaning | Noise, power and countertop footprint | Pros and cons | Value for money | Best alternatives | Final recommendation | Frequently asked questions",One-paragraph verdict; scorecard with measurable criteria; evidence notes; pros/cons; alternatives; buy-if/skip-if; dated review update.,Specs; scorecard; pros/cons; alternatives comparison,Primary product CTA after verdict and value section; alternatives each get separate CTA,"Hands-on testing preferred. Otherwise clearly disclose research-based review; add original analysis, test protocol, photos/data where available; never invent use."
26,BL-V01,P1,Blenders,Single Review,BL-PIL,ninja detect power blender pro review,Commercial Investigation,BOFU,Ninja Detect Power Blender Pro Review,/ninja-detect-power-blender-pro-review/,"1,800–2,800","Quick verdict | Product specifications | Who this product is best for | Design and build quality | Performance by key task | Ease of use and cleaning | Noise, power and countertop footprint | Pros and cons | Value for money | Best alternatives | Final recommendation | Frequently asked questions",One-paragraph verdict; scorecard with measurable criteria; evidence notes; pros/cons; alternatives; buy-if/skip-if; dated review update.,Specs; scorecard; pros/cons; alternatives comparison,Primary product CTA after verdict and value section; alternatives each get separate CTA,"Hands-on testing preferred. Otherwise clearly disclose research-based review; add original analysis, test protocol, photos/data where available; never invent use."
27,BL-V02,P1,Blenders,Single Review,BL-PIL,nutribullet pro 900 review,Commercial Investigation,BOFU,NutriBullet Pro 900 Review,/nutribullet-pro-900-review/,"1,800–2,800","Quick verdict | Product specifications | Who this product is best for | Design and build quality | Performance by key task | Ease of use and cleaning | Noise, power and countertop footprint | Pros and cons | Value for money | Best alternatives | Final recommendation | Frequently asked questions",One-paragraph verdict; scorecard with measurable criteria; evidence notes; pros/cons; alternatives; buy-if/skip-if; dated review update.,Specs; scorecard; pros/cons; alternatives comparison,Primary product CTA after verdict and value section; alternatives each get separate CTA,"Hands-on testing preferred. Otherwise clearly disclose research-based review; add original analysis, test protocol, photos/data where available; never invent use."
28,AF-G01,P1,Air Fryers,Buying Guide,AF-HUB,air fryer buying guide,Informational,TOFU/MOFU,Air Fryer Buying Guide,/air-fryer-buying-guide/,"2,200–3,500","Quick buying recommendation | Choose the right size or capacity | Power and performance requirements | Important features | Materials, safety and cleaning | Countertop space and storage | Budget tiers and value | Decision tree by user type | Common buying mistakes | Recommended products | Frequently asked questions",Definition and direct recommendation; criteria table; ranges and thresholds; decision tree; mistakes; links to commercial pages; concise FAQs.,Feature thresholds; size/capacity chart; decision tree,Contextual links to 2–4 relevant roundups/reviews,Primary-source/manual references where useful; calculations/examples; original explanation; safety caveats; no generic rewritten filler.
29,BL-G01,P1,Blenders,Buying Guide,BL-HUB,blender buying guide,Informational,TOFU/MOFU,Blender Buying Guide,/blender-buying-guide/,"2,200–3,500","Quick buying recommendation | Choose the right size or capacity | Power and performance requirements | Important features | Materials, safety and cleaning | Countertop space and storage | Budget tiers and value | Decision tree by user type | Common buying mistakes | Recommended products | Frequently asked questions",Definition and direct recommendation; criteria table; ranges and thresholds; decision tree; mistakes; links to commercial pages; concise FAQs.,Feature thresholds; size/capacity chart; decision tree,Contextual links to 2–4 relevant roundups/reviews,Primary-source/manual references where useful; calculations/examples; original explanation; safety caveats; no generic rewritten filler.
30,CC-G01,P1,Cross-Category,Buying Guide,,how we test kitchen appliances,Informational,TOFU/MOFU,How CounterCrave Tests and Evaluates Kitchen Appliances,/how-we-test/,"2,200–3,500","Quick buying recommendation | Choose the right size or capacity | Power and performance requirements | Important features | Materials, safety and cleaning | Countertop space and storage | Budget tiers and value | Decision tree by user type | Common buying mistakes | Recommended products | Frequently asked questions",Definition and direct recommendation; criteria table; ranges and thresholds; decision tree; mistakes; links to commercial pages; concise FAQs.,Feature thresholds; size/capacity chart; decision tree,Contextual links to 2–4 relevant roundups/reviews,Primary-source/manual references where useful; calculations/examples; original explanation; safety caveats; no generic rewritten filler.
31,AF-G02,P1,Air Fryers,Informational,AF-HUB,what size air fryer do i need,Informational,TOFU/MOFU,What Size Air Fryer Do I Need?,/what-size-air-fryer-do-i-need/,"1,200–2,200",Direct answer | Why this happens or why it matters | Key factors that change the answer | Practical examples | What to do next | Important limitations and safety notes | Related product recommendations | Frequently asked questions,40–60 word direct answer; definitions; conditions/exceptions; practical table; next-step recommendation; concise FAQs.,Answer/condition table or troubleshooting table where useful,Only contextual affiliate links when genuinely helpful,Primary-source/manual references where useful; calculations/examples; original explanation; safety caveats; no generic rewritten filler.
32,CC-G02,P1,Cross-Category,Informational,,countertop appliance size guide,Informational,TOFU/MOFU,Countertop Appliance Size and Clearance Guide,/countertop-appliance-size-guide/,"1,200–2,200",Direct answer | Why this happens or why it matters | Key factors that change the answer | Practical examples | What to do next | Important limitations and safety notes | Related product recommendations | Frequently asked questions,40–60 word direct answer; definitions; conditions/exceptions; practical table; next-step recommendation; concise FAQs.,Answer/condition table or troubleshooting table where useful,Only contextual affiliate links when genuinely helpful,Primary-source/manual references where useful; calculations/examples; original explanation; safety caveats; no generic rewritten filler.
33,EK-HUB,P2,Electric Kettles,Category Hub,,electric kettle reviews and buying guides,Mixed,MOFU,"Electric Kettle Reviews, Comparisons and Buying Guides",/electric-kettles/,"1,500–2,200",Quick answer: how to choose the right electric kettles | Best picks by budget and use case | Browse all best-of roundups | Latest individual reviews | Head-to-head comparisons | Buying guides and troubleshooting | How CounterCrave evaluates products | Frequently asked questions,40–60 word category summary; decision table; category taxonomy; links to best answers; methodology statement; concise FAQ answers.,Best-by-use-case navigation table; latest content list,Internal links first; minimal direct Amazon CTAs,"Original editorial context, source validation and clear author accountability."
34,TO-HUB,P2,Toaster Ovens,Category Hub,,toaster oven reviews and buying guides,Mixed,MOFU,"Toaster Oven Reviews, Comparisons and Buying Guides",/toaster-ovens/,"1,500–2,200",Quick answer: how to choose the right toaster ovens | Best picks by budget and use case | Browse all best-of roundups | Latest individual reviews | Head-to-head comparisons | Buying guides and troubleshooting | How CounterCrave evaluates products | Frequently asked questions,40–60 word category summary; decision table; category taxonomy; links to best answers; methodology statement; concise FAQ answers.,Best-by-use-case navigation table; latest content list,Internal links first; minimal direct Amazon CTAs,"Original editorial context, source validation and clear author accountability."
35,EK-PIL,P2,Electric Kettles,Commercial Pillar,EK-HUB,best electric kettles,Commercial Investigation,BOFU,"Best Electric Kettles for Tea, Coffee and Fast Boiling",/best-electric-kettles/,"3,000–4,500",Our top picks at a glance | Comparison table | How we selected and evaluated the products | Best overall recommendation | Best value recommendation | Best premium recommendation | Best options by specific use case | How to choose the right product | Who should buy and who should skip | Alternatives worth considering | Frequently asked questions,Answer-first verdict; top-three table; measurable selection criteria; each pick has buy-if/skip-if; clear alternatives; short fact-based FAQs.,Top picks table; full comparison table; selection criteria table; optional size/value decision table,Disclosure → Check price on Amazon; contextual CTA after verdict; alternatives link,Original selection methodology; spec verification; decision criteria; custom comparison table; explain exclusions; ideally hands-on notes or documented research.
36,TO-PIL,P2,Toaster Ovens,Commercial Pillar,TO-HUB,best toaster ovens,Commercial Investigation,BOFU,"Best Toaster Ovens for Toast, Baking and Everyday Meals",/best-toaster-ovens/,"3,000–4,500",Our top picks at a glance | Comparison table | How we selected and evaluated the products | Best overall recommendation | Best value recommendation | Best premium recommendation | Best options by specific use case | How to choose the right product | Who should buy and who should skip | Alternatives worth considering | Frequently asked questions,Answer-first verdict; top-three table; measurable selection criteria; each pick has buy-if/skip-if; clear alternatives; short fact-based FAQs.,Top picks table; full comparison table; selection criteria table; optional size/value decision table,Disclosure → Check price on Amazon; contextual CTA after verdict; alternatives link,Original selection methodology; spec verification; decision criteria; custom comparison table; explain exclusions; ideally hands-on notes or documented research.
37,AF-R08,P2,Air Fryers,Roundup,AF-PIL,best air fryer for apartment,Commercial Investigation,BOFU,Best Air Fryers for Apartments,/best-air-fryer-for-apartment/,"2,500–4,000",Quick picks | Comparison table | How we chose these products | Best overall option for best air fryer for apartment | Best budget option | Best premium option | Other strong options by use case | Detailed product evaluations | How to choose | Common buying mistakes | Frequently asked questions,50-word direct answer; ranked list; decision matrix; explicit selection logic; pros/cons; audience fit; concise FAQ answers.,Top picks table; full comparison table; selection criteria table; optional size/value decision table,Disclosure → Check price on Amazon; contextual CTA after verdict; alternatives link,Original selection methodology; spec verification; decision criteria; custom comparison table; explain exclusions; ideally hands-on notes or documented research.
38,AF-R09,P2,Air Fryers,Roundup,AF-PIL,best air fryer for beginners,Commercial Investigation,BOFU,Best Air Fryers for Beginners,/best-air-fryer-for-beginners/,"2,500–4,000",Quick picks | Comparison table | How we chose these products | Best overall option for best air fryer for beginners | Best budget option | Best premium option | Other strong options by use case | Detailed product evaluations | How to choose | Common buying mistakes | Frequently asked questions,50-word direct answer; ranked list; decision matrix; explicit selection logic; pros/cons; audience fit; concise FAQ answers.,Top picks table; full comparison table; selection criteria table; optional size/value decision table,Disclosure → Check price on Amazon; contextual CTA after verdict; alternatives link,Original selection methodology; spec verification; decision criteria; custom comparison table; explain exclusions; ideally hands-on notes or documented research.
39,AF-R10,P2,Air Fryers,Roundup,AF-PIL,best air fryer for seniors,Commercial Investigation,BOFU,Best Air Fryers for Seniors,/best-air-fryer-for-seniors/,"2,500–4,000",Quick picks | Comparison table | How we chose these products | Best overall option for best air fryer for seniors | Best budget option | Best premium option | Other strong options by use case | Detailed product evaluations | How to choose | Common buying mistakes | Frequently asked questions,50-word direct answer; ranked list; decision matrix; explicit selection logic; pros/cons; audience fit; concise FAQ answers.,Top picks table; full comparison table; selection criteria table; optional size/value decision table,Disclosure → Check price on Amazon; contextual CTA after verdict; alternatives link,Original selection methodology; spec verification; decision criteria; custom comparison table; explain exclusions; ideally hands-on notes or documented research.
40,AF-R13,P2,Air Fryers,Roundup,AF-PIL,best stainless steel air fryer,Commercial Investigation,BOFU,Best Stainless Steel Air Fryers,/best-stainless-steel-air-fryer/,"2,500–4,000",Quick picks | Comparison table | How we chose these products | Best overall option for best stainless steel air fryer | Best budget option | Best premium option | Other strong options by use case | Detailed product evaluations | How to choose | Common buying mistakes | Frequently asked questions,50-word direct answer; ranked list; decision matrix; explicit selection logic; pros/cons; audience fit; concise FAQ answers.,Top picks table; full comparison table; selection criteria table; optional size/value decision table,Disclosure → Check price on Amazon; contextual CTA after verdict; alternatives link,Original selection methodology; spec verification; decision criteria; custom comparison table; explain exclusions; ideally hands-on notes or documented research.
41,AF-R14,P2,Air Fryers,Roundup,AF-PIL,quietest air fryer,Commercial Investigation,BOFU,Best Quiet Air Fryers,/quietest-air-fryer/,"2,500–4,000",Quick picks | Comparison table | How we chose these products | Best overall option for quietest air fryer | Best budget option | Best premium option | Other strong options by use case | Detailed product evaluations | How to choose | Common buying mistakes | Frequently asked questions,50-word direct answer; ranked list; decision matrix; explicit selection logic; pros/cons; audience fit; concise FAQ answers.,Top picks table; full comparison table; selection criteria table; optional size/value decision table,Disclosure → Check price on Amazon; contextual CTA after verdict; alternatives link,Original selection methodology; spec verification; decision criteria; custom comparison table; explain exclusions; ideally hands-on notes or documented research.
